,TransactionID,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,TransactionDT,TransactionAmt,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
0,472433,W,6592,278.0,150.0,visa,226.0,debit,325.0,87.0,>=3027949.25,>=125.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,9.0,1.0
1,472434,W,15484,418.0,150.0,visa,226.0,debit,264.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0
2,472435,C,14276,177.0,185.0,mastercard,137.0,credit,NotFound,NotFound,<3027949.25,<125,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,472436,W,1893,514.0,150.0,mastercard,224.0,credit,441.0,87.0,>=3027949.25,<125,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,57.0,3.0
4,472437,C,14337,228.0,106.0,visa,137.0,debit,NotFound,NotFound,>=3027949.25,<125,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
5,472438,W,7585,553.0,150.0,visa,226.0,credit,204.0,87.0,>=3027949.25,<125,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,8.0,3.0
6,472439,W,2300,412.0,150.0,visa,226.0,debit,184.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0
7,472440,H,15066,170.0,150.0,mastercard,102.0,credit,472.0,87.0,<3027949.25,<125,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
8,472441,W,2455,321.0,150.0,visa,226.0,credit,441.0,87.0,>=3027949.25,>=125.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
9,472442,W,15823,302.0,150.0,visa,226.0,debit,184.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,15.0,1.0
10,472443,W,7919,194.0,150.0,mastercard,202.0,debit,231.0,87.0,<3027949.25,<125,8.0,10.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,42.0,7.0
11,472444,W,16232,396.0,150.0,mastercard,224.0,debit,315.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
12,472445,W,8394,490.0,150.0,visa,226.0,debit,325.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0
13,472446,W,13295,321.0,150.0,visa,226.0,debit,436.0,87.0,>=3027949.25,<125,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
14,472447,W,14098,481.0,150.0,mastercard,195.0,debit,325.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
15,472448,W,3681,513.0,150.0,visa,166.0,debit,433.0,87.0,>=3027949.25,<125,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
16,472449,S,6054,327.0,150.0,discover,223.0,credit,231.0,87.0,<3027949.25,<125,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
17,472450,W,8868,205.0,150.0,visa,166.0,debit,441.0,87.0,>=3027949.25,<125,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
18,472451,R,9350,111.0,150.0,visa,162.0,credit,512.0,87.0,<3027949.25,<125,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0
19,472452,C,13832,375.0,185.0,mastercard,224.0,debit,NotFound,NotFound,>=3027949.25,<125,6.0,30.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0,2.0,24.0,5.0
20,472453,C,14276,177.0,185.0,mastercard,137.0,credit,NotFound,NotFound,<3027949.25,<125,13.0,7.0,0.0,4.0,0.0,4.0,4.0,3.0,0.0,1.0,6.0,6.0,1.0,1.0
21,472454,R,8964,399.0,150.0,american express,185.0,credit,272.0,87.0,<3027949.25,<125,3.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
22,472455,W,12695,490.0,150.0,visa,226.0,debit,325.0,87.0,>=3027949.25,<125,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0
23,472456,W,17465,554.0,150.0,mastercard,224.0,debit,204.0,87.0,<3027949.25,<125,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,2.0
