TransactionID,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,TransactionDT,TransactionAmt,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,isFraud
38,C,16136,204,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,4,6,0,1,0,1,1,1,0,1,1,1,1,0,1
55,W,7815,161,150,mastercard,117,debit,203,87,>=3027949.25,<125.0,1,3,0,0,0,3,0,0,1,0,3,0,4,1,1
66,C,3213,459,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
91,W,13780,298,150,visa,226,debit,441,87,>=3027949.25,<125.0,2,3,0,0,0,2,0,0,2,0,2,1,9,2,1
100,W,6357,480,150,mastercard,219,credit,485,87,>=3027949.25,>=125.0,77,70,0,0,104,59,0,0,54,0,50,0,442,73,1
102,H,15056,399,150,american express,185,credit,325,87,<3027949.25,<125.0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1
109,R,1675,174,150,visa,226,debit,204,87,>=3027949.25,>=125.0,5,5,0,2,0,1,0,2,0,2,2,0,0,0,1
112,R,15053,277,144,visa,137,credit,356,96,>=3027949.25,<125.0,10,17,0,8,0,10,0,7,0,5,13,0,1,1,1
174,C,14276,177,185,mastercard,137,credit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
243,C,15885,545,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,28,48,0,9,0,9,9,16,0,10,12,12,4,4,1
249,C,10568,204,185,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,3,5,0,3,0,3,3,1,0,2,4,4,0,0,1
272,C,6019,583,150,visa,226,credit,NotFound,NotFound,>=3027949.25,<125.0,5,6,0,1,0,1,1,3,0,4,2,2,1,1,1
422,C,16062,500,185,mastercard,137,credit,NotFound,NotFound,>=3027949.25,>=125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
436,C,15885,545,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,6,40,0,19,0,19,19,13,0,10,15,15,2,2,1
442,W,1893,514,150,mastercard,224,credit,512,87,>=3027949.25,>=125.0,4,2,0,0,0,3,0,0,6,0,4,1,14,4,1
502,C,2801,130,185,visa,137,credit,NotFound,NotFound,>=3027949.25,<125.0,42,98,0,10,0,10,10,13,0,28,27,27,4,3,1
589,S,9500,321,150,visa,226,debit,330,87,>=3027949.25,<125.0,13,5,0,6,0,0,0,9,0,47,4,0,41,8,1
653,W,9364,225,150,mastercard,166,debit,123,87,>=3027949.25,<125.0,2,1,0,0,0,3,0,0,3,0,1,0,32,2,1
674,W,2616,327,150,discover,102,credit,269,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
675,W,12839,321,150,visa,226,debit,264,87,<3027949.25,<125.0,2,1,0,0,0,0,0,0,2,0,1,0,6,1,1
709,W,5938,111,150,visa,162,credit,126,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,1,7,1,1
716,W,7664,490,150,visa,226,debit,204,87,<3027949.25,<125.0,1,3,0,0,0,1,0,0,1,0,1,0,8,1,1
757,C,13832,375,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,5,5,0,1,0,1,1,1,0,1,1,1,0,0,1
759,W,15185,332,150,visa,226,debit,205,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
794,H,6054,327,150,discover,NotFound,credit,325,87,>=3027949.25,<125.0,2,1,0,2,0,1,0,2,0,2,1,0,1,1,1
800,W,4272,111,150,visa,226,debit,299,87,>=3027949.25,<125.0,128,126,0,0,103,61,0,0,55,0,106,0,496,68,1
820,R,6019,583,150,visa,226,credit,308,87,>=3027949.25,>=125.0,6,6,0,1,0,6,0,2,0,2,6,0,0,0,1
839,W,7508,321,150,visa,226,debit,177,87,>=3027949.25,<125.0,2,2,0,0,1,2,0,0,1,0,1,0,2,2,1
841,C,9633,296,185,visa,138,debit,NotFound,NotFound,>=3027949.25,<125.0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1
843,W,15063,NotFound,NotFound,NotFound,NotFound,NotFound,299,87,>=3027949.25,>=125.0,2,5,0,0,0,3,0,0,4,0,2,0,5,2,1
864,C,2801,296,185,visa,137,credit,NotFound,NotFound,<3027949.25,<125.0,3,3,0,1,0,1,1,1,0,1,2,2,0,0,1
902,W,17400,174,150,visa,226,debit,123,87,>=3027949.25,<125.0,5,1,0,0,0,6,0,0,2,0,1,0,4,4,1
996,W,4806,490,150,visa,226,debit,315,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
997,W,1342,514,150,mastercard,224,debit,325,87,>=3027949.25,<125.0,1,2,0,0,0,2,0,0,2,0,1,0,3,1,1
1106,W,15066,170,150,mastercard,102,credit,299,87,>=3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
1123,H,6344,327,150,discover,224,credit,170,87,>=3027949.25,>=125.0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1
1181,W,3283,555,150,visa,226,debit,191,87,<3027949.25,>=125.0,2,1,0,0,0,0,0,0,1,0,1,0,11,2,1
1239,C,9479,562,150,mastercard,102,credit,NotFound,NotFound,>=3027949.25,>=125.0,1,2,0,1,0,1,1,1,0,1,1,1,1,1,1
1248,W,6019,583,150,visa,226,credit,204,87,>=3027949.25,>=125.0,1,1,0,0,0,1,0,0,1,0,1,0,2,1,1
1284,C,13832,375,185,mastercard,224,debit,NotFound,NotFound,>=3027949.25,<125.0,101,136,0,55,0,55,55,73,0,55,80,80,27,21,1
1292,W,7207,111,150,visa,226,debit,441,87,>=3027949.25,<125.0,3,6,0,0,0,6,0,0,6,0,4,3,8,3,1
1382,W,16883,111,150,visa,226,debit,476,87,<3027949.25,<125.0,1,1,0,0,0,1,0,0,1,0,1,0,3,1,1
1410,C,14053,545,185,visa,195,credit,NotFound,NotFound,>=3027949.25,<125.0,4,4,0,1,0,1,1,2,0,2,3,3,3,3,1
